;regiao;estado;municipio;coduf;codmun;codRegiaoSaude;nomeRegiaoSaude;data;semanaEpi;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;interior/metropolitana;Acumulados_100mil;ObitosAcumulados_100mil
2394;Sudeste;MG;Carmo da Cachoeira;31;311390.0;31010.0;TRES CORACOES;2021-02-25;8;12170.0;178;1;3;1;0.0;0.00178;3e-05
2395;Sudeste;MG;Carmo da Mata;31;311400.0;31088.0;OLIVEIRA/SANTO ANTONIO DO AMPARO;2021-02-25;8;11476.0;270;5;4;0;0.0;0.0027;4e-05
2396;Sudeste;MG;Carmo de Minas;31;311410.0;31008.0;SAO LOURENCO;2021-02-25;8;14859.0;340;2;4;0;0.0;0.0034;4e-05
2397;Sudeste;MG;Carmo do Cajuru;31;311420.0;31086.0;DIVINOPOLIS;2021-02-25;8;22478.0;326;0;9;0;0.0;0.00326;9e-05
2398;Sudeste;MG;Carmo do Paranaíba;31;311430.0;31082.0;SAO GOTARDO;2021-02-25;8;30329.0;1193;122;23;0;0.0;0.01193;0.00023
2399;Sudeste;MG;Carmo do Rio Claro;31;311440.0;31092.0;PASSOS;2021-02-25;8;21225.0;395;2;14;1;0.0;0.00395;0.00014
2400;Sudeste;MG;Carmópolis de Minas;31;311450.0;31088.0;OLIVEIRA/SANTO ANTONIO DO AMPARO;2021-02-25;8;19355.0;766;0;16;1;0.0;0.00766;0.00016
2401;Sudeste;MG;Carneirinho;31;311455.0;31071.0;FRUTAL / ITURAMA;2021-02-25;8;10027.0;360;4;4;0;0.0;0.0036;4e-05
2402;Sudeste;MG;Carrancas;31;311460.0;31004.0;LAVRAS;2021-02-25;8;4047.0;109;0;2;0;0.0;0.00109;2e-05
2403;Sudeste;MG;Carvalhópolis;31;311470.0;31001.0;ALFENAS / MACHADO;2021-02-25;8;3579.0;62;0;2;0;0.0;0.00062;2e-05
2404;Sudeste;MG;Carvalhos;31;311480.0;31008.0;SAO LOURENCO;2021-02-25;8;4478.0;67;0;0;0;0.0;0.00067;0.0
2405;Sudeste;MG;Casa Grande;31;311490.0;31079.0;CONSELHEIRO LAFAIETE;2021-02-25;8;2257.0;24;0;1;0;0.0;0.00024;1e-05
2406;Sudeste;MG;Cascalho Rico;31;311500.0;31075.0;UBERLANDIA / ARAGUARI;2021-02-25;8;3075.0;36;3;1;0;0.0;0.00036;1e-05
2407;Sudeste;MG;Cássia;31;311510.0;31091.0;CASSIA;2021-02-25;8;17740.0;552;1;10;1;0.0;0.00552;0.0001
2408;Sudeste;MG;Conceição da Barra de Minas;31;311520.0;31015.0;SAO JOAO DEL REI;2021-02-25;8;3954.0;112;0;2;0;0.0;0.00112;2e-05
2409;Sudeste;MG;Cataguases;31;311530.0;31044.0;LEOPOLDINA / CATAGUASES;2021-02-25;8;75123.0;2903;5;74;0;0.0;0.02903;0.00074
2410;Sudeste;MG;Catas Altas;31;311535.0;31021.0;ITABIRA;2021-02-25;8;5376.0;177;6;2;0;0.0;0.00177;2e-05
2411;Sudeste;MG;Catas Altas da Noruega;31;311540.0;31079.0;CONSELHEIRO LAFAIETE;2021-02-25;8;3641.0;35;0;2;0;0.0;0.00035;2e-05
2412;Sudeste;MG;Catuji;31;311545.0;31067.0;PADRE PARAISO;2021-02-25;8;6311.0;380;0;1;0;0.0;0.0038;1e-05
2413;Sudeste;MG;Catuti;31;311547.0;31052.0;JANAUBA/MONTE AZUL;2021-02-25;8;4986.0;80;0;2;0;0.0;0.0008;2e-05
2414;Sudeste;MG;Caxambu;31;311550.0;31008.0;SAO LOURENCO;2021-02-25;8;21656.0;594;7;7;0;0.0;0.00594;7e-05
2415;Sudeste;MG;Cedro do Abaeté;31;311560.0;31024.0;SETE LAGOAS;2021-02-25;8;1164.0;8;0;0;0;0.0;8e-05;0.0
